T7 Value,P8 Value,O2 Value,O1 Value,FC5 Value
108.75,34.0,54.25,39.5,-30.25
-307.0,-219.0,-221.75,-213.5,-192.0
129.0,104.25,110.0,59.25,-7.75
-326.0,-232.75,-238.5,-234.5,-211.75
133.0,77.25,88.0,63.0,-6.5
-318.25,-226.5,-229.5,-223.5,-204.75
117.0,27.0,35.0,42.25,-28.75
-290.25,-148.25,-177.75,-201.0,-182.25
101.75,21.0,26.75,28.25,-42.75
-295.25,-187.25,-193.5,-199.75,-181.25
110.25,35.0,46.25,38.75,-33.5
-318.5,-236.5,-255.75,-226.75,-207.5
125.5,87.0,77.0,52.5,-17.0
-337.0,-276.5,-286.5,-249.0,-227.25
117.25,18.25,33.5,44.0,-23.25
-323.25,-235.25,-244.25,-230.75,-210.0
103.0,10.75,10.0,30.0,-43.0
-293.25,-145.75,-180.0,-197.25,-180.75
101.25,19.0,22.0,28.5,-41.25
-296.5,-199.0,-208.5,-203.5,-180.0
123.75,80.5,82.5,50.75,-12.0
-312.25,-205.25,-228.75,-224.25,-197.25
